,Age,EdLevel,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed
56,<35,Other,Man,No,Dev,5,3,Poland,48600.0,28,1
57,>35,Master,Man,No,Dev,30,25,Netherlands,59454.0,10,1
58,<35,Undergraduate,Woman,No,Dev,4,2,Romania,14652.0,8,0
59,>35,Undergraduate,Man,No,Dev,38,34,United States of America,200000.0,5,0
60,<35,Master,Man,No,Dev,27,11,Germany,97288.0,22,1
61,<35,Other,Woman,No,Dev,15,5,Russian Federation,75492.0,6,0
63,<35,Master,Man,No,Dev,7,5,France,49725.0,12,1
64,>35,Undergraduate,Man,No,Dev,31,25,United Kingdom of Great Britain and Northern Ireland,70047.0,11,1
66,<35,Undergraduate,Man,No,Dev,20,7,India,2340.0,19,1
67,>35,Undergraduate,Man,No,Dev,41,24,United States of America,115000.0,11,0
69,<35,Undergraduate,Man,No,Dev,8,7,Lithuania,103408.0,15,1
70,<35,Master,Man,No,Dev,13,8,Ukraine,42000.0,18,1
72,>35,PhD,Man,No,Dev,42,22,United Kingdom of Great Britain and Northern Ireland,71093.0,1,0
73,>35,Undergraduate,Man,No,Dev,8,4,Croatia,17412.0,6,0
74,<35,Other,Man,Yes,Dev,4,2,Georgia,14844.0,9,0
76,>35,Other,Man,No,Dev,16,14,Italy,54049.0,17,1
77,>35,Master,Man,No,Dev,26,24,Denmark,115784.0,15,1
78,<35,Undergraduate,Man,No,Dev,10,6,Russian Federation,56616.0,11,0
79,<35,Undergraduate,Man,No,Dev,14,11,Ireland,69183.0,7,0
80,>35,Undergraduate,Man,No,Dev,24,18,Greece,25944.0,12,1
81,>35,Other,Man,No,Dev,35,25,United Kingdom of Great Britain and Northern Ireland,60752.0,4,0
82,>35,Undergraduate,Man,No,Dev,6,3,Poland,16704.0,22,0
83,>35,Undergraduate,Man,No,Dev,23,15,Romania,81420.0,18,0
84,<35,Undergraduate,Man,No,Dev,7,3,Lebanon,14280.0,5,0
85,>35,Master,Man,No,Dev,20,13,United Kingdom of Great Britain and Northern Ireland,84019.0,15,1
86,>35,Undergraduate,Man,No,Dev,20,18,Bahrain,63648.0,20,1
87,<35,Undergraduate,Man,No,Dev,5,1,Egypt,4620.0,17,1
88,<35,Master,Man,No,Dev,10,9,United States of America,70000.0,15,0
89,<35,Other,Man,No,Dev,12,7,Ireland,91883.0,20,0
90,<35,Master,Man,No,Dev,3,2,Russian Federation,30192.0,7,0
91,<35,Undergraduate,Man,Yes,Dev,10,5,United States of America,90000.0,12,1
92,>35,Undergraduate,Man,No,Dev,20,20,Colombia,21600.0,20,1
93,<35,Undergraduate,Man,No,Dev,15,6,Netherlands,50592.0,9,1
94,<35,Undergraduate,Man,No,Dev,10,1,India,1512.0,32,1
96,<35,Undergraduate,Man,Yes,Dev,9,4,Greece,28536.0,14,0
98,>35,Undergraduate,Man,No,Dev,24,14,United Kingdom of Great Britain and Northern Ireland,77556.0,15,1
99,>35,Undergraduate,Man,No,Dev,21,14,United Kingdom of Great Britain and Northern Ireland,103408.0,19,1
100,>35,Undergraduate,Man,No,Dev,28,22,Switzerland,121979.0,7,0
101,<35,PhD,Man,Yes,Dev,15,9,Russian Federation,75492.0,14,0
102,<35,Undergraduate,Man,No,Dev,10,8,Germany,84316.0,29,1
103,>35,Undergraduate,Man,No,Dev,31,26,Russian Federation,43404.0,16,0
104,<35,Undergraduate,Man,No,Dev,6,2,Chile,22584.0,14,1
105,<35,Undergraduate,Man,No,Dev,14,7,United Kingdom of Great Britain and Northern Ireland,103408.0,4,0
106,<35,Master,Man,No,Dev,15,5,France,44320.0,20,1
107,>35,Undergraduate,Man,Yes,Dev,30,22,United States of America,165000.0,29,1
108,<35,Undergraduate,Man,Yes,Dev,13,3,Indonesia,5268.0,13,1
109,<35,Other,Man,Yes,Dev,10,5,Germany,51888.0,14,0
110,<35,Undergraduate,Man,Yes,Dev,12,7,"Iran, Islamic Republic of...",85500.0,16,0
111,<35,Undergraduate,Man,No,Dev,7,7,Bangladesh,48000.0,12,1
112,<35,Master,Man,No,Dev,12,9,France,64859.0,6,0
113,<35,Undergraduate,Man,No,Dev,6,3,Germany,42158.0,11,0
114,<35,Undergraduate,NonBinary,Yes,Dev,18,7,Germany,32424.0,2,0
116,<35,Master,Man,No,Dev,5,5,Netherlands,51888.0,7,0
119,>35,PhD,Man,No,Dev,13,8,Germany,74588.0,3,0
120,<35,Undergraduate,Man,No,Dev,6,4,Slovakia,33732.0,11,0
121,<35,Master,Man,No,Dev,13,8,Bulgaria,27852.0,12,1
122,<35,Undergraduate,Man,No,Dev,12,3,United Kingdom of Great Britain and Northern Ireland,50153.0,11,0
123,<35,Master,Man,No,Dev,15,11,India,30716.0,13,1
124,<35,Master,Man,No,Dev,10,7,France,77831.0,25,1
125,<35,Undergraduate,Woman,No,Dev,7,3,Denmark,81624.0,13,1
127,<35,Undergraduate,Man,Yes,Dev,10,2,Armenia,10450.0,18,1
128,<35,Master,Man,No,Dev,7,7,France,41077.0,15,1
129,<35,Undergraduate,Man,No,Dev,10,3,Finland,45396.0,8,0
130,<35,Other,Man,No,Dev,4,2,United Kingdom of Great Britain and Northern Ireland,19389.0,10,1
131,>35,Master,Man,No,Dev,24,15,France,77831.0,8,0
132,>35,Undergraduate,Man,No,Dev,18,13,United States of America,160000.0,6,0
133,<35,Undergraduate,Man,No,Dev,12,8,Israel,200409.0,9,0
134,>35,Undergraduate,Man,No,Dev,37,31,United States of America,185000.0,17,1
136,<35,Undergraduate,Man,No,Dev,9,7,Hong Kong (S.A.R.),66897.0,21,1
137,>35,Other,Man,No,Dev,5,0,Argentina,75000.0,17,1
138,<35,Other,Man,Yes,Dev,8,6,United Kingdom of Great Britain and Northern Ireland,48472.0,12,0
139,>35,Undergraduate,Man,Yes,Dev,24,16,United States of America,120000.0,13,1
140,<35,Other,Man,No,Dev,12,12,Brazil,8796.0,10,0
141,<35,Master,Woman,Yes,Dev,10,10,Spain,12972.0,32,1
142,<35,Other,Man,No,Dev,5,3,"Iran, Islamic Republic of...",4272.0,17,1
143,<35,Undergraduate,Man,No,Dev,9,4,Spain,28105.0,10,0
144,>35,Other,Man,No,Dev,30,20,Finland,77832.0,10,0
147,>35,Other,Man,No,Dev,20,15,Netherlands,43239.0,17,1
148,<35,Undergraduate,Man,No,Dev,6,1,Egypt,9231.0,6,0
149,>35,Undergraduate,Man,No,Dev,25,15,Germany,70264.0,10,1
150,<35,Undergraduate,Man,Yes,Dev,5,2,Egypt,5388.0,18,1
151,<35,Master,Man,No,Dev,22,13,United States of America,115000.0,10,1
152,<35,Undergraduate,Woman,Yes,Dev,21,12,United States of America,144000.0,22,1
153,<35,Master,Man,No,Dev,14,4,Ireland,65508.0,6,0
154,>35,Master,Man,No,Dev,31,21,Germany,70264.0,5,0
155,>35,Undergraduate,Man,No,Dev,44,34,Canada,181515.0,7,0
156,>35,Undergraduate,Man,No,Dev,40,26,Sweden,81000.0,13,0
157,>35,NoHigherEd,Man,No,Dev,22,22,United States of America,105000.0,6,0
158,>35,Master,Man,No,Dev,20,5,Germany,56211.0,13,1
160,<35,Master,Man,No,Dev,14,10,United States of America,110000.0,6,0
161,<35,Undergraduate,Man,No,Dev,14,7,Romania,64860.0,10,0
162,>35,Undergraduate,Man,Yes,Dev,25,15,United States of America,120000.0,21,1
163,<35,Undergraduate,Man,No,Dev,7,0,Bangladesh,6360.0,10,0
164,<35,NoHigherEd,Man,Yes,Dev,11,6,Germany,48644.0,20,1
165,<35,Master,Man,No,Dev,17,11,Poland,54672.0,14,0
166,<35,Undergraduate,Man,No,Dev,6,4,Netherlands,35676.0,15,1
167,<35,Undergraduate,Man,No,Dev,18,4,Canada,75631.0,3,0
170,<35,Undergraduate,Man,No,Dev,4,3,Greece,25944.0,15,0
171,<35,Undergraduate,Man,No,Dev,4,2,India,5585.0,13,0
172,<35,Other,Woman,Yes,Dev,15,4,United States of America,58000.0,8,0
173,<35,Undergraduate,Man,No,Dev,18,6,Germany,61616.0,15,0
176,<35,Master,Man,Yes,Dev,11,6,Canada,68068.0,10,0
177,<35,Undergraduate,Man,Yes,Dev,12,5,India,217800.0,17,0
178,>35,PhD,Man,No,Dev,30,14,Netherlands,118908.0,9,0
179,<35,NoHigherEd,Man,Yes,Dev,18,1,United States of America,40000.0,6,0
180,<35,Undergraduate,Man,No,Dev,15,8,Canada,71850.0,12,1
181,>35,Undergraduate,Man,No,Dev,21,14,Canada,66934.0,4,0
182,<35,Master,Man,No,Dev,8,3,Finland,54216.0,8,0
183,<35,Undergraduate,Man,No,Dev,12,10,Spain,64860.0,15,1
184,<35,Undergraduate,Man,No,Dev,6,1,Peru,19860.0,10,0
185,<35,Other,Man,Yes,Dev,6,1,Switzerland,54888.0,10,0
186,<35,NoHigherEd,NonBinary,Yes,Dev,8,7,Germany,58373.0,17,0
187,>35,Master,Man,No,Dev,27,20,Russian Federation,56616.0,16,0
189,<35,Master,Man,No,Dev,2,1,France,48104.0,2,0
190,>35,Undergraduate,Man,No,Dev,24,20,Netherlands,84312.0,8,0
191,>35,Master,Man,No,Dev,25,24,United Kingdom of Great Britain and Northern Ireland,55582.0,7,0
192,>35,Undergraduate,Man,No,Dev,42,27,United Kingdom of Great Britain and Northern Ireland,71093.0,2,0
193,<35,Other,Man,No,Dev,7,3,Russian Federation,72000.0,30,1
194,>35,Other,Man,No,Dev,30,21,United Kingdom of Great Britain and Northern Ireland,60752.0,14,1
195,<35,Other,Man,No,Dev,9,4,Greece,25944.0,16,1
196,>35,Undergraduate,Man,No,Dev,26,16,Japan,179858.0,16,0
197,>35,Other,Man,No,Dev,26,20,Poland,30372.0,6,1
198,<35,Master,Man,Yes,Dev,15,6,Belgium,29832.0,14,1
199,<35,Undergraduate,Man,No,Dev,10,6,United Arab Emirates,40020.0,16,1
201,<35,Undergraduate,Man,No,Dev,12,3,United States of America,67000.0,28,1
202,<35,Undergraduate,Man,No,Dev,12,4,India,21676.0,8,0
203,>35,Master,Man,No,Dev,25,16,Switzerland,101649.0,4,0
204,<35,Other,Man,No,Dev,6,4,Bolivia,17352.0,22,1
205,>35,Other,Man,Yes,Dev,25,16,United States of America,195000.0,11,0
206,<35,Master,Man,No,Dev,8,7,Portugal,34380.0,10,0
207,>35,PhD,Man,No,Dev,35,23,United Kingdom of Great Britain and Northern Ireland,155111.0,9,0
208,<35,Master,Man,No,Dev,16,4,Austria,64860.0,12,1
209,>35,Undergraduate,Man,Yes,Dev,14,12,France,123228.0,7,0
210,<35,Undergraduate,Man,Yes,Dev,6,2,Canada,90000.0,14,0
212,<35,Master,Man,No,Dev,3,3,France,48644.0,9,0
213,<35,Undergraduate,Man,No,Dev,12,5,Sweden,54769.0,7,0
214,<35,Undergraduate,Man,No,Dev,7,5,Poland,45564.0,16,1
215,<35,Undergraduate,Man,No,Dev,9,7,Bangladesh,25428.0,20,1
217,<35,Undergraduate,Man,No,Dev,10,6,United States of America,170000.0,24,1
218,<35,Undergraduate,Woman,No,Dev,7,3,Turkey,19728.0,22,1
219,<35,Undergraduate,Man,No,Dev,9,4,Portugal,24132.0,8,0
220,<35,Other,Man,No,Dev,10,6,Ukraine,54804.0,20,1
221,<35,Undergraduate,Man,No,Dev,9,4,United States of America,70000.0,13,1
222,<35,Undergraduate,Man,No,Dev,13,8,South Africa,42432.0,13,1
223,>35,Master,Man,No,Dev,15,10,France,97288.0,13,1
224,<35,NoHigherEd,Man,No,Dev,8,2,United States of America,40000.0,9,0
225,<35,Undergraduate,Man,Yes,Dev,6,4,Netherlands,40212.0,30,1
226,<35,Undergraduate,Man,No,Dev,8,4,Pakistan,15408.0,20,1
227,<35,Master,Man,No,Dev,7,6,United Kingdom of Great Britain and Northern Ireland,54224.0,8,0
228,<35,Master,Man,No,Dev,11,7,Switzerland,81319.0,13,1
230,<35,Undergraduate,Man,No,Dev,6,1,Germany,64859.0,17,1
231,>35,Master,Man,No,Dev,35,30,Netherlands,62268.0,15,1
232,<35,Other,Man,Yes,Dev,12,5,Canada,31750.0,18,1
233,<35,Master,Man,No,Dev,6,2,United States of America,100000.0,17,1
234,<35,Undergraduate,Man,No,Dev,5,3,United States of America,92000.0,14,0
235,<35,Undergraduate,Man,No,Dev,10,4,Spain,34591.0,15,0
236,>35,Other,Man,No,Dev,20,10,Switzerland,92500.0,23,1
237,<35,Master,Man,No,Dev,15,12,United States of America,135000.0,7,0
238,<35,Undergraduate,Man,Yes,Dev,9,5,United Kingdom of Great Britain and Northern Ireland,71093.0,24,1
239,<35,Undergraduate,Man,No,Dev,8,5,"Iran, Islamic Republic of...",42756.0,4,0
240,<35,Undergraduate,Man,No,Dev,8,4,United States of America,150000.0,11,1
241,>35,Undergraduate,Man,Yes,Dev,21,19,United States of America,65000.0,13,1
242,>35,NoHigherEd,Man,No,Dev,18,17,Germany,25944.0,11,1
244,>35,Undergraduate,Man,No,Dev,20,15,Ireland,48644.0,6,0
245,<35,Undergraduate,Man,No,Dev,10,3,Italy,35672.0,10,0
246,<35,Master,Man,No,Dev,12,7,Belgium,64860.0,8,0
247,<35,Undergraduate,Man,Yes,Dev,10,3,Germany,59454.0,8,0
248,<35,Master,Man,No,Dev,12,9,France,45396.0,10,1
249,>35,Undergraduate,Man,Yes,Dev,28,20,Germany,19452.0,17,1
250,<35,Undergraduate,Woman,Yes,Dev,3,2,Lebanon,22212.0,29,1
251,<35,Undergraduate,Man,No,Dev,18,11,Ukraine,60000.0,29,1
252,>35,PhD,Man,No,Dev,39,35,United States of America,110000.0,5,0
253,<35,Undergraduate,Man,No,Dev,15,9,Ukraine,53832.0,14,1
254,<35,Master,Man,No,Dev,7,2,Turkey,18080.0,18,1
255,<35,Undergraduate,Man,No,Dev,11,3,Germany,31128.0,11,0
256,<35,Undergraduate,Man,No,Dev,16,12,Brazil,96204.0,26,1
257,<35,Undergraduate,Man,No,Dev,6,3,Pakistan,5448.0,9,0
258,<35,Master,Man,No,Dev,15,6,France,88640.0,17,0
259,<35,Other,Man,No,Dev,6,2,Spain,20539.0,18,1
260,>35,Master,Man,Yes,Dev,40,21,United States of America,190000.0,9,1
261,>35,PhD,Man,No,Dev,30,10,United Kingdom of Great Britain and Northern Ireland,49765.0,3,0
262,<35,Undergraduate,Man,No,Dev,14,8,United States of America,57765.0,7,0
263,<35,Undergraduate,Man,No,Dev,6,3,United States of America,40000.0,6,0
264,<35,NoHigherEd,Man,No,Dev,6,2,United States of America,37440.0,12,0
265,<35,Undergraduate,Man,No,Dev,3,1,India,11724.0,16,1
266,>35,Undergraduate,Man,No,Dev,20,13,Switzerland,111814.0,11,0
267,<35,Master,Man,No,Dev,5,4,United States of America,133000.0,11,0
268,>35,Other,Man,No,Dev,23,13,Germany,69183.0,8,1
269,<35,Undergraduate,Man,Yes,Dev,20,6,Norway,64737.0,8,0
270,<35,Undergraduate,Man,No,Dev,13,8,Italy,47563.0,9,0
271,>35,Undergraduate,Man,No,Dev,16,12,Netherlands,118908.0,12,0
272,<35,Master,Man,No,Dev,12,6,France,69183.0,14,1
273,<35,Undergraduate,Man,No,Dev,10,8,India,29320.0,23,1
274,>35,Undergraduate,Man,No,Dev,22,8,Austria,70264.0,14,0
275,<35,Undergraduate,Woman,No,Dev,1,0,Ukraine,4008.0,4,0
277,>35,Undergraduate,Man,No,Dev,30,21,Serbia,51888.0,36,1
278,>35,Master,Man,Yes,Dev,22,7,France,64859.0,17,1
279,>35,Master,Man,No,Dev,30,17,Italy,59454.0,14,1
280,>35,Other,Woman,No,Dev,20,17,United States of America,78750.0,6,0
282,<35,Undergraduate,Man,No,Dev,3,0,India,6981.0,5,0
284,<35,Undergraduate,Man,No,Dev,17,10,United Kingdom of Great Britain and Northern Ireland,63854.0,5,0
285,>35,Other,Man,Yes,Dev,14,10,India,123984.0,17,1
286,<35,Other,Man,No,Dev,13,10,Greece,25944.0,11,0
287,<35,Other,Man,No,Dev,4,0,India,2508.0,20,1
289,<35,Master,Man,No,Dev,9,5,Pakistan,7788.0,13,1
290,<35,Other,Man,No,Dev,8,5,United States of America,72000.0,12,1
291,>35,Other,Man,No,Dev,34,25,Switzerland,152473.0,11,1
292,<35,Master,Man,No,Dev,3,3,Italy,35672.0,2,0
293,<35,Master,Man,No,Dev,12,6,Sweden,85908.0,20,1
294,<35,Undergraduate,Man,No,Dev,9,5,Romania,27144.0,15,1
295,<35,Undergraduate,Man,Yes,Dev,4,0,India,8376.0,12,0
296,<35,Undergraduate,Man,Yes,Dev,11,7,Germany,86478.0,19,1
297,<35,Other,Man,No,Dev,13,8,Poland,45564.0,21,1
298,<35,Undergraduate,Man,No,Dev,16,7,India,134028.0,2,0
299,>35,Undergraduate,Man,No,Dev,40,25,United States of America,98000.0,7,0
300,<35,Master,Man,No,Dev,17,10,Austria,36708.0,9,1
301,>35,NoHigherEd,Man,No,Dev,21,18,Germany,54049.0,18,1
303,<35,Master,Man,No,Dev,13,6,Poland,60744.0,17,1
304,<35,Undergraduate,Man,No,Dev,8,3,Bolivia,5208.0,20,1
305,>35,Undergraduate,Man,No,Dev,36,25,France,183767.0,8,0
306,<35,Undergraduate,Man,No,Dev,11,2,India,25128.0,25,1
307,<35,Undergraduate,Man,Yes,Dev,17,10,Malta,49725.0,18,1
308,<35,Other,Man,No,Dev,13,4,Germany,36324.0,16,1
309,<35,Undergraduate,Man,No,Dev,3,1,United States of America,82000.0,11,0
310,<35,PhD,Man,No,Dev,12,10,United States of America,105000.0,3,0
311,<35,Other,Man,No,Dev,25,15,Finland,59454.0,27,1
312,<35,Other,Man,No,Dev,4,2,United Kingdom of Great Britain and Northern Ireland,28437.0,12,0
313,<35,Other,Man,No,Dev,4,3,Poland,41004.0,9,1
315,<35,Undergraduate,Man,No,Dev,15,9,United States of America,135000.0,14,1
316,<35,Undergraduate,Man,No,Dev,6,7,India,31332.0,6,0
317,<35,Undergraduate,Man,No,Dev,10,6,Netherlands,50806.0,14,1
318,<35,Other,Man,No,Dev,6,3,France,41077.0,12,0
319,<35,NoHigherEd,Man,Yes,Dev,3,2,Poland,24912.0,15,0
320,<35,Master,Man,No,Dev,7,5,France,45401.0,16,1
321,<35,Master,Man,No,Dev,12,10,France,37620.0,23,1
322,<35,Undergraduate,Man,No,Dev,15,8,United States of America,200000.0,8,1
323,<35,Master,Man,No,Dev,11,3,India,40489.0,16,1
324,<35,Master,Man,No,Dev,20,10,United States of America,58000.0,17,1
325,<35,Undergraduate,Woman,Yes,Dev,2,1,"Iran, Islamic Republic of...",12828.0,8,0
326,<35,Master,Man,Yes,Dev,7,3,United Kingdom of Great Britain and Northern Ireland,48472.0,4,0
327,<35,Other,Man,No,Dev,7,5,Serbia,27528.0,15,1
328,<35,NoHigherEd,Man,No,Dev,8,0,United Kingdom of Great Britain and Northern Ireland,19389.0,15,1
329,<35,Undergraduate,Man,No,Dev,11,7,Germany,43239.0,7,0
330,<35,NoHigherEd,Man,No,Dev,12,8,Spain,16215.0,13,0
331,<35,Undergraduate,Man,Yes,Dev,10,5,Netherlands,35676.0,6,0
332,>35,Undergraduate,Man,Yes,Dev,27,11,United States of America,180000.0,5,0
334,>35,Undergraduate,Man,No,Dev,35,30,Spain,45396.0,53,1
335,<35,PhD,Man,No,Dev,6,6,Italy,33095.0,5,0
336,<35,Undergraduate,Man,Yes,Dev,4,1,Malaysia,8364.0,7,0
337,<35,Undergraduate,Man,No,Dev,3,2,United States of America,70000.0,7,0
338,>35,Master,Man,No,Dev,9,9,Netherlands,57072.0,6,1
339,>35,Undergraduate,Man,No,Dev,30,20,United States of America,130000.0,12,1
340,<35,Undergraduate,Man,No,Dev,3,2,Ukraine,22512.0,5,0
341,<35,Master,Man,No,Dev,7,4,"Iran, Islamic Republic of...",2568.0,8,0
342,<35,Undergraduate,Man,No,Dev,5,4,Brazil,22536.0,28,1
344,<35,Undergraduate,Man,Yes,Dev,15,8,Belgium,32424.0,7,0
345,>35,NoHigherEd,Man,No,Dev,41,14,Germany,56208.0,20,1
346,>35,Undergraduate,Man,Yes,Dev,45,33,United States of America,175000.0,29,1
347,<35,NoHigherEd,Man,No,Dev,9,3,Austria,42156.0,13,1
348,>35,Undergraduate,Man,No,Dev,14,8,Israel,91056.0,21,1
349,>35,Other,Woman,No,Dev,35,25,Canada,68068.0,11,0
351,<35,Undergraduate,Man,No,Dev,6,2,Turkey,9864.0,25,1
353,<35,NoHigherEd,Man,No,Dev,3,2,Turkey,11832.0,26,1
354,<35,Master,Man,No,Dev,9,7,Brazil,41232.0,15,1
355,<35,Master,Man,No,Dev,2,1,Ukraine,6852.0,14,0
356,<35,Master,Man,No,Dev,20,5,France,39131.0,19,1
357,<35,Master,Man,No,Dev,10,8,Georgia,46644.0,20,1
358,<35,Undergraduate,Man,No,Dev,13,4,United States of America,72000.0,9,1
359,>35,Other,Man,No,Dev,33,20,United States of America,110000.0,19,1
360,<35,Other,Man,No,Dev,20,12,Italy,45401.0,15,1
361,<35,Undergraduate,Man,Yes,Dev,18,13,United States of America,155000.0,9,1
362,<35,NoHigherEd,Man,No,Dev,15,9,Czech Republic,54564.0,20,1
363,<35,Master,Man,No,Dev,12,4,Poland,24300.0,17,1
364,<35,Other,Man,No,Dev,18,14,Germany,75885.0,21,1
365,<35,Master,NonBinary,No,Dev,12,7,United States of America,125000.0,6,0
366,>35,Undergraduate,Man,No,Dev,43,35,United States of America,70000.0,11,0
367,<35,NoHigherEd,Man,No,Dev,15,9,Belarus,30000.0,14,1
368,<35,Other,Man,Yes,Dev,10,4,United States of America,105000.0,3,0
369,>35,Master,Man,No,Dev,29,24,Sweden,68724.0,3,0
370,<35,Other,Man,No,Dev,4,4,Brazil,10992.0,11,0
371,<35,Undergraduate,Man,No,Dev,6,3,Sweden,40500.0,13,1
372,<35,Master,Man,No,Dev,6,1,Croatia,19152.0,3,0
373,<35,Undergraduate,Man,No,Dev,5,1,"Iran, Islamic Republic of...",12828.0,7,0
374,>35,Master,Man,No,Dev,20,10,Germany,77832.0,17,1
375,<35,Undergraduate,Man,Yes,Dev,11,0,Australia,16050.0,5,0
376,>35,Undergraduate,Man,No,Dev,14,7,Sweden,50928.0,13,0
377,<35,Undergraduate,Man,Yes,Dev,2,1,India,5868.0,20,1
378,>35,Other,Man,No,Dev,35,25,United States of America,156000.0,29,1
379,>35,Undergraduate,Man,No,Dev,21,20,Israel,155844.0,26,1
382,>35,Undergraduate,Man,No,Dev,22,15,Switzerland,126083.0,10,1
383,<35,Other,Man,No,Dev,12,6,United Kingdom of Great Britain and Northern Ireland,51704.0,4,0
384,>35,Master,Man,No,Dev,20,16,France,50806.0,10,0
385,>35,Master,Man,No,Dev,42,30,France,108100.0,19,1
386,<35,Undergraduate,Man,No,Dev,10,4,Turkey,38400.0,14,0
388,<35,Master,Man,No,Dev,10,2,United States of America,45000.0,7,1
389,<35,Undergraduate,Man,No,Dev,10,3,India,9773.0,14,1
390,<35,Master,Man,No,Dev,13,4,Germany,45401.0,10,0
391,>35,Undergraduate,Man,Yes,Dev,20,15,United States of America,120000.0,17,1
392,<35,Undergraduate,Man,No,Dev,12,8,United States of America,66500.0,12,0
393,>35,Undergraduate,Woman,Yes,Dev,20,5,South Africa,31224.0,9,1
394,<35,Master,Man,No,Dev,6,6,India,8040.0,10,0
395,<35,Undergraduate,Man,No,Dev,10,5,Bangladesh,7344.0,16,1
396,<35,Master,Man,Yes,Dev,11,2,Madagascar,3444.0,15,1
398,<35,Undergraduate,Man,Yes,Dev,10,5,Finland,49296.0,8,0
399,<35,Undergraduate,Man,No,Dev,15,7,United States of America,125000.0,21,0
400,<35,Master,Man,No,Dev,13,6,France,46482.0,2,0
401,<35,Other,Man,No,Dev,8,1,Austria,20112.0,21,1
402,<35,Undergraduate,Man,Yes,Dev,16,10,India,29320.0,10,1
403,<35,Undergraduate,Man,No,Dev,4,2,Russian Federation,7548.0,8,0
404,>35,Master,Man,No,Dev,28,22,United Kingdom of Great Britain and Northern Ireland,116333.0,11,1
